Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year
Fri4/30,OKC,vs,LAL,L94-95,42,7,20,35.0,1,6,16.7,6,7,85.7,2,3,5,9,3,0,0,2,21,+2,2010.0
Tue4/27,OKC,@,LAL,L87-111,33,4,13,30.8,2,4,50.0,5,8,62.5,1,4,5,6,3,0,8,2,15,-26,2010.0
Sat4/24,OKC,vs,LAL,W110-89,29,6,11,54.5,0,0,,6,6,100.0,2,6,8,6,0,0,0,0,18,+17,2010.0
Thu4/22,OKC,vs,LAL,W101-96,42,11,21,52.4,1,1,100.0,4,5,80.0,2,6,8,4,1,0,2,2,27,+4,2010.0
Tue4/20,OKC,@,LAL,L92-95,29,5,10,50.0,1,1,100.0,8,8,100.0,1,5,6,3,1,1,3,4,19,-2,2010.0
Sun4/18,OKC,@,LAL,L79-87,38,10,16,62.5,0,0,,3,4,75.0,2,2,4,8,2,0,1,3,23,-7,2010.0
Average,,,,,35.4,7.2,15.2,47.3,0.8,2.0,41.7,5.3,6.3,84.2,1.7,4.3,6.0,6.0,1.7,0.2,2.3,2.2,20.5,-2.0,2010.0
Wed4/14,OKC,vs,MEM,W114-105,25,3,10,30.0,0,1,0.0,3,3,100.0,4,3,7,7,1,0,3,3,9,+9,2010.0
Mon4/12,OKC,@,POR,L95-103,31,5,14,35.7,0,1,0.0,1,1,100.0,2,5,7,0,0,0,5,3,11,-11,2010.0
Sun4/11,OKC,@,GSW,L117-120,38,6,17,35.3,0,1,0.0,8,8,100.0,4,1,5,9,3,0,6,3,20,+1,2010.0
Fri4/9,OKC,vs,PHX,W96-91,42,4,16,25.0,0,1,0.0,0,0,,1,7,8,10,2,1,1,4,8,+5,2010.0
Wed4/7,OKC,vs,DEN,L94-98,37,10,19,52.6,0,0,,1,2,50.0,3,1,4,4,1,2,7,2,21,-3,2010.0
Tue4/6,OKC,@,UTA,L139-140,38,7,15,46.7,1,2,50.0,12,13,92.3,3,2,5,9,0,2,7,5,27,0,2010.0
Sun4/4,OKC,vs,MIN,W116-108,32,4,11,36.4,0,1,0.0,2,2,100.0,1,1,2,16,2,0,1,4,10,+11,2010.0
Sat4/3,OKC,@,DAL,W121-116,33,6,16,37.5,0,0,,5,5,100.0,2,1,3,6,0,0,3,3,17,-7,2010.0
Average,,,,,34.6,5.6,14.8,38.1,0.1,0.9,14.3,4.0,4.3,94.1,2.5,2.6,5.1,7.6,1.1,0.6,4.1,3.4,15.4,0.6,2010.0
Wed3/31,OKC,@,BOS,W109-104,33,9,17,52.9,0,1,0.0,3,3,100.0,2,1,3,10,0,0,2,0,21,0,2010.0
Tue3/30,OKC,@,PHI,W111-93,27,3,12,25.0,0,0,,4,4,100.0,1,4,5,14,1,2,1,1,10,+9,2010.0
Sun3/28,OKC,vs,POR,L87-92,31,5,14,35.7,0,1,0.0,2,2,100.0,3,0,3,6,2,0,3,4,12,-5,2010.0
Fri3/26,OKC,vs,LAL,W91-75,28,10,13,76.9,0,0,,3,5,60.0,1,0,1,6,4,0,2,0,23,+26,2010.0
Wed3/24,OKC,vs,HOU,W122-104,26,2,7,28.6,0,1,0.0,0,0,,3,2,5,8,0,1,5,2,4,+2,2010.0
Mon3/22,OKC,vs,SAS,L96-99,29,5,13,38.5,0,2,0.0,2,2,100.0,1,3,4,4,0,1,1,4,12,-4,2010.0
Sun3/21,OKC,@,IND,L101-121,17,0,4,0.0,0,0,,0,0,,1,0,1,5,0,0,2,2,0,-20,2010.0
Fri3/19,OKC,@,TOR,W115-89,26,3,10,30.0,0,1,0.0,5,5,100.0,1,2,3,10,2,0,2,1,11,+26,2010.0
Wed3/17,OKC,@,CHA,L92-100,31,6,16,37.5,0,2,0.0,3,4,75.0,0,1,1,10,1,0,5,5,15,-11,2010.0
Sun3/14,OKC,vs,UTA,W119-111,40,12,16,75.0,0,0,,6,11,54.5,1,2,3,11,1,1,5,3,30,+3,2010.0
Fri3/12,OKC,vs,NJN,W104-102,35,3,7,42.9,0,0,,5,6,83.3,0,4,4,10,0,1,9,4,11,+7,2010.0
Wed3/10,OKC,vs,NOH,W98-83,32,7,13,53.8,0,0,,3,4,75.0,2,6,8,9,2,1,4,2,17,+18,2010.0
Sun3/7,OKC,@,SAC,W108-102,32,8,18,44.4,0,1,0.0,5,6,83.3,3,5,8,4,0,1,1,1,21,+3,2010.0
Fri3/5,OKC,@,LAC,W104-87,36,5,11,45.5,0,0,,5,7,71.4,2,4,6,9,7,0,7,3,15,+16,2010.0
Wed3/3,OKC,@,DEN,L90-119,25,3,11,27.3,0,0,,5,6,83.3,0,3,3,6,3,1,4,2,11,-18,2010.0
Tue3/2,OKC,vs,SAC,W113-107,42,10,19,52.6,1,1,100.0,9,11,81.8,4,1,5,13,1,0,3,2,30,+14,2010.0
Average,,,,,30.6,5.7,12.6,45.3,0.1,0.6,10.0,3.8,4.8,78.9,1.6,2.4,3.9,8.4,1.5,0.6,3.5,2.3,15.2,4.1,2010.0
Sun2/28,OKC,vs,TOR,W119-99,31,4,10,40.0,0,0,,6,7,85.7,0,3,3,10,4,1,0,0,14,+23,2010.0
Fri2/26,OKC,vs,MIN,W109-92,33,7,11,63.6,0,0,,4,6,66.7,2,6,8,15,2,0,2,1,18,+29,2010.0
Wed2/24,OKC,@,SAS,L87-95,39,6,21,28.6,0,3,0.0,5,9,55.6,3,3,6,7,1,0,4,3,17,-3,2010.0
Tue2/23,OKC,vs,PHX,L102-104,39,9,18,50.0,0,0,,3,4,75.0,1,0,1,10,3,0,2,3,21,-9,2010.0
Sun2/21,OKC,@,MIN,W109-107,38,9,19,47.4,0,0,,4,4,100.0,3,7,10,14,2,0,3,2,22,+16,2010.0
