Opponent,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Team score,Opponent score,date,Season,Lose,Win,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,HOU,LAC,LAL,OKC,WAS,Playoff,Regular
SAC,41.0,7.0,18.0,38.9,0.0,2.0,0.0,20.0,22.0,90.9,6.0,0.0,6.0,8.0,1.0,0.0,5.0,4.0,34.0,3.0,2009,118,122,2009-02-01,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
DEN,35.0,8.0,17.0,47.1,0.0,1.0,0.0,4.0,7.0,57.1,2.0,2.0,4.0,5.0,0.0,0.0,4.0,1.0,20.0,-6.0,2009,113,114,2009-02-04,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
POR,25.0,5.0,9.0,55.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,0.0,6.0,2.0,10.0,0.0,2009,102,93,2009-02-06,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
SAC,37.0,3.0,14.0,21.4,0.0,3.0,0.0,5.0,7.0,71.4,3.0,4.0,7.0,8.0,2.0,1.0,2.0,2.0,11.0,0.0,2009,116,113,2009-02-08,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
LAL,39.0,5.0,16.0,31.3,2.0,5.0,40.0,5.0,6.0,83.3,3.0,6.0,9.0,7.0,2.0,0.0,4.0,3.0,17.0,-8.0,2009,98,105,2009-02-10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
POR,37.0,5.0,15.0,33.3,0.0,0.0,0.0,11.0,12.0,91.7,8.0,4.0,12.0,3.0,0.0,1.0,3.0,3.0,21.0,-4.0,2009,92,106,2009-02-11,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
NOH,34.0,5.0,15.0,33.3,0.0,3.0,0.0,2.0,2.0,100.0,1.0,4.0,5.0,4.0,0.0,0.0,2.0,5.0,12.0,-7.0,2009,98,100,2009-02-17,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
PHX,33.0,6.0,15.0,40.0,3.0,4.0,75.0,4.0,4.0,100.0,4.0,2.0,6.0,8.0,1.0,0.0,4.0,4.0,19.0,-12.0,2009,118,140,2009-02-20,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
GSW,39.0,13.0,24.0,54.2,0.0,3.0,0.0,5.0,6.0,83.3,2.0,3.0,5.0,11.0,1.0,0.0,4.0,0.0,31.0,-13.0,2009,120,133,2009-02-21,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
LAL,31.0,5.0,13.0,38.5,0.0,1.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,14.0,-8.0,2009,93,107,2009-02-24,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DAL,47.0,11.0,32.0,34.4,2.0,6.0,33.3,9.0,10.0,90.0,5.0,3.0,8.0,5.0,2.0,0.0,4.0,2.0,33.0,-6.0,2009,108,110,2009-02-27,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
MEM,41.0,5.0,17.0,29.4,0.0,2.0,0.0,15.0,17.0,88.2,2.0,2.0,4.0,7.0,4.0,0.0,5.0,3.0,25.0,15.0,2009,99,92,2009-02-28,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
DAL,41.0,6.0,18.0,33.3,1.0,2.0,50.0,4.0,4.0,100.0,2.0,8.0,10.0,10.0,2.0,1.0,6.0,2.0,17.0,15.0,2009,96,87,2009-03-02,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
WAS,33.0,6.0,14.0,42.9,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,3.0,3.0,12.0,-2.0,2009,88,83,2009-03-04,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
NOH,33.0,8.0,18.0,44.4,0.0,1.0,0.0,8.0,8.0,100.0,3.0,4.0,7.0,2.0,3.0,0.0,4.0,1.0,24.0,-26.0,2009,90,108,2009-03-07,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
PHI,31.0,5.0,11.0,45.5,1.0,3.0,33.3,0.0,0.0,0.0,1.0,6.0,7.0,5.0,1.0,0.0,6.0,4.0,11.0,7.0,2009,89,74,2009-03-08,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
